county_x,FIPS,pop_count,POPESTIMATE2020,pop_diffs,pop_diffs_abs,undercount,percent_change,overcount_5_prc,undercount_5_prc,overcount_10_prc,undercount_10_prc,annual_growth_rate,overcount,total_housing,occ_housing,unocc_housing,total_group,total_inst,adult_jail,juvenille_jail,nursing_homes,other_inst,non_inst_total,college_housing,military_housing,other_non_inst,state_fips_x,county_fips_x,CENSUS2010POP,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,fatalityCount,pop_covid_est,county_y,0-5_pop,5-9_pop,10-14_pop,15-19_pop,20-24_pop,25-34_pop,35-44_pop,45-54_pop,55-59_pop,60-64_pop,65-74_pop,75-84_pop,85_plus_pop,white_pop,black_pop,ai_an_pop,asian_pop,black_w_other_race_pop,hisp_any_race_pop,male_pop,female_pop,state_fips_y,county_fips_y
Alamance County,37001,171415.0,171346.0,-69.0,69.0,0,-0.0402693964259451,0,0,0,0,17134.5,1,73385.0,67925.0,5460.0,6092.0,1029.0,397.0,18.0,601.0,13.0,5063.0,4427.0,0.0,636.0,37,1,151131,1942,1879,63,36,2078,1356,169509,"Alamance County, North Carolina",9647.0,9977.0,10746.0,13099.0,10982.0,20616.0,19173.0,22238.0,11925.0,9874.0,15895.0,8334.0,3638.0,114429.0,32917.0,688.0,2679.0,35432.0,21153.0,78854.0,87290.0,37,1
Alexander County,37003,36444.0,37441.0,997.0,997.0,1,2.662856227130685,0,0,0,0,3744.0,0,15960.0,14408.0,1552.0,1492.0,1434.0,1274.0,14.0,146.0,0.0,58.0,10.0,0.0,48.0,37,3,37198,344,431,-87,0,109,1,37497,"Alexander County, North Carolina",1770.0,1810.0,2563.0,2081.0,2152.0,4338.0,4489.0,5237.0,2734.0,2556.0,4271.0,2380.0,890.0,32670.0,1924.0,350.0,394.0,2526.0,1779.0,19049.0,18222.0,37,3
Alleghany County,37005,10888.0,11194.0,306.0,306.0,1,2.7336072896194388,0,0,0,0,1119.3,0,7666.0,4844.0,2822.0,246.0,107.0,39.0,0.0,68.0,0.0,139.0,0.0,0.0,139.0,37,5,11155,84,154,-70,6,125,0,11137,"Alleghany County, North Carolina",457.0,480.0,592.0,623.0,417.0,1123.0,1102.0,1436.0,751.0,1057.0,1760.0,979.0,308.0,10526.0,183.0,54.0,47.0,255.0,1080.0,5377.0,5708.0,37,5
Anson County,37007,22055.0,24097.0,2042.0,2042.0,1,8.474083910860273,1,0,0,0,2409.6,0,9834.0,8554.0,1280.0,1641.0,1612.0,1394.0,0.0,218.0,0.0,29.0,0.0,0.0,29.0,37,7,26948,256,312,-56,29,590,44,24446,"Anson County, North Carolina",1180.0,1259.0,1584.0,1393.0,1377.0,3373.0,3002.0,3282.0,1853.0,1575.0,2732.0,1333.0,487.0,11540.0,11990.0,108.0,315.0,12196.0,1002.0,12394.0,12036.0,37,7
Ashe County,37009,26577.0,27166.0,589.0,589.0,1,2.1681513656776854,0,0,0,0,2716.5,0,16935.0,11708.0,5227.0,455.0,347.0,127.0,8.0,212.0,0.0,108.0,0.0,0.0,108.0,37,9,27281,203,391,-188,-2,143,20,27203,"Ashe County, North Carolina",1100.0,1166.0,1600.0,1379.0,1181.0,2792.0,3067.0,3483.0,1964.0,2428.0,4041.0,2044.0,764.0,25891.0,199.0,77.0,162.0,321.0,1349.0,13288.0,13721.0,37,9
Avery County,37011,17806.0,17571.0,-235.0,235.0,0,-1.3374309942518925,0,0,0,0,1757.0,1,13827.0,6860.0,6967.0,2516.0,1956.0,1810.0,13.0,133.0,0.0,560.0,489.0,0.0,71.0,37,11,17797,148,242,-94,12,158,0,17557,"Avery County, North Carolina",600.0,630.0,790.0,990.0,1096.0,2168.0,2346.0,2506.0,1028.0,1487.0,2282.0,1213.0,374.0,16099.0,762.0,197.0,76.0,838.0,877.0,9635.0,7875.0,37,11
Beaufort County,37013,44652.0,47073.0,2421.0,2421.0,1,5.1430756484609015,1,0,0,0,4707.2,0,24090.0,19430.0,4660.0,429.0,261.0,0.0,0.0,261.0,0.0,168.0,0.0,0.0,168.0,37,13,47759,424,648,-224,18,184,0,46994,"Beaufort County, North Carolina",2291.0,2415.0,2959.0,2773.0,2374.0,4706.0,5065.0,5993.0,3424.0,3966.0,6724.0,3146.0,1324.0,33548.0,11607.0,63.0,49.0,12153.0,3767.0,22430.0,24730.0,37,13
Bertie County,37015,17934.0,18712.0,778.0,778.0,1,4.157759726378794,0,0,0,0,1871.1,0,8936.0,7264.0,1672.0,1515.0,1480.0,1367.0,0.0,113.0,0.0,35.0,0.0,0.0,35.0,37,15,21282,165,280,-115,8,-142,244,18947,"Bertie County, North Carolina",808.0,1025.0,822.0,989.0,1143.0,2439.0,2008.0,2349.0,1439.0,1711.0,2427.0,1492.0,429.0,6641.0,11803.0,76.0,136.0,11966.0,405.0,9572.0,9509.0,37,15
Bladen County,37017,29606.0,32911.0,3305.0,3305.0,1,10.042235118957189,1,0,1,0,3291.0,0,15131.0,12410.0,2721.0,327.0,272.0,112.0,0.0,160.0,0.0,55.0,0.0,0.0,55.0,37,17,35190,345,490,-145,2,190,109,32722,"Bladen County, North Carolina",1732.0,1856.0,2079.0,1938.0,1691.0,3686.0,3718.0,4156.0,2457.0,2598.0,4429.0,2127.0,742.0,19225.0,11520.0,876.0,53.0,11624.0,2514.0,15982.0,17227.0,37,17
Brunswick County,37019,136693.0,149039.0,12346.0,12346.0,1,8.283737813592415,1,0,0,0,14903.8,0,88330.0,61496.0,26834.0,964.0,851.0,241.0,0.0,610.0,0.0,113.0,0.0,0.0,113.0,37,19,107431,1035,1821,-786,4,6875,204,142820,"Brunswick County, North Carolina",5281.0,5576.0,6423.0,5667.0,5333.0,12474.0,13186.0,15157.0,11636.0,13333.0,29130.0,11163.0,2944.0,115159.0,12919.0,830.0,725.0,15095.0,6690.0,65902.0,71401.0,37,19
Buncombe County,37021,269452.0,263477.0,-5975.0,5975.0,0,-2.2677501261969737,0,0,0,0,26347.6,1,129141.0,116237.0,12904.0,8156.0,3835.0,1390.0,78.0,2269.0,98.0,4321.0,2472.0,0.0,1849.0,37,21,238318,2465,2857,-392,142,1676,1368,261191,"Buncombe County, North Carolina",12692.0,12972.0,14020.0,14249.0,13987.0,36083.0,34700.0,33156.0,17329.0,18512.0,30676.0,13709.0,7491.0,227845.0,15957.0,836.0,3268.0,18384.0,17396.0,124395.0,135181.0,37,21
Burke County,37023,87570.0,90418.0,2848.0,2848.0,1,3.149815302262824,0,0,0,0,9041.7,0,39525.0,35140.0,4385.0,2832.0,2227.0,1145.0,78.0,768.0,236.0,605.0,0.0,0.0,605.0,37,23,90912,863,1133,-270,53,208,1058,90485,"Burke County, North Carolina",4326.0,4264.0,5027.0,5539.0,5048.0,11220.0,10376.0,12486.0,7164.0,6555.0,10395.0,5331.0,2417.0,75763.0,5521.0,813.0,3343.0,6583.0,5622.0,44935.0,45213.0,37,23
Cabarrus County,37025,225804.0,221479.0,-4325.0,4325.0,0,-1.952781076309718,0,0,0,0,22147.8,1,87410.0,82596.0,4814.0,1806.0,1413.0,555.0,137.0,713.0,8.0,393.0,178.0,0.0,215.0,37,25,178011,2574,1821,753,94,4317,1512,216453,"Cabarrus County, North Carolina",13421.0,14058.0,17012.0,14799.0,11733.0,26662.0,30316.0,30835.0,13380.0,11449.0,16941.0,7599.0,3400.0,146344.0,39530.0,672.0,8780.0,42312.0,22444.0,103136.0,108469.0,37,25
Caldwell County,37027,80652.0,82100.0,1448.0,1448.0,1,1.763702801461632,0,0,0,0,8209.9,0,36931.0,33166.0,3765.0,1105.0,839.0,413.0,3.0,417.0,6.0,266.0,0.0,0.0,266.0,37,27,83029,828,1100,-272,51,42,143,82178,"Caldwell County, North Carolina",4169.0,4062.0,5150.0,5031.0,4499.0,9112.0,8949.0,12671.0,6156.0,5723.0,9961.0,4784.0,1789.0,72500.0,3509.0,194.0,428.0,4706.0,4677.0,40494.0,41562.0,37,27
Camden County,37029,10355.0,10984.0,629.0,629.0,1,5.726511289147852,1,0,0,0,1098.3,0,4119.0,3875.0,244.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,37,29,9980,101,74,27,2,186,0,10867,"Camden County, North Carolina",560.0,663.0,770.0,654.0,348.0,1286.0,1371.0,1721.0,841.0,566.0,1146.0,530.0,198.0,8721.0,1181.0,24.0,195.0,1400.0,325.0,5369.0,5285.0,37,29
Carteret County,37031,67686.0,69558.0,1872.0,1872.0,1,2.691279220219098,0,0,0,0,6955.7,0,50846.0,30112.0,20734.0,864.0,702.0,424.0,0.0,278.0,0.0,162.0,33.0,32.0,97.0,37,31,66469,504,964,-460,20,489,310,69473,"Carteret County, North Carolina",2828.0,3348.0,3677.0,3639.0,3122.0,6863.0,7652.0,9130.0,5263.0,6473.0,10528.0,5048.0,1730.0,61715.0,3418.0,212.0,786.0,4866.0,3011.0,33928.0,35373.0,37,31
Caswell County,37033,22736.0,22443.0,-293.0,293.0,0,-1.3055295637838078,0,0,0,0,2244.2,1,10444.0,9124.0,1320.0,1476.0,1367.0,1232.0,0.0,135.0,0.0,109.0,0.0,0.0,109.0,37,33,23719,210,271,-61,13,-99,53,22604,"Caswell County, North Carolina",1048.0,737.0,1645.0,1391.0,1300.0,2150.0,2699.0,3170.0,1814.0,1803.0,2918.0,1486.0,458.0,14241.0,7391.0,56.0,204.0,7573.0,958.0,11416.0,11203.0,37,33
Catawba County,37035,160610.0,160307.0,-303.0,303.0,0,-0.189012332586849,0,0,0,0,16030.6,1,70744.0,64471.0,6273.0,2826.0,1503.0,443.0,37.0,1023.0,0.0,1323.0,844.0,0.0,479.0,37,35,154358,1688,1819,-131,136,940,432,159551,"Catawba County, North Carolina",8844.0,9322.0,10508.0,10397.0,9344.0,18694.0,18813.0,22244.0,12110.0,10083.0,16930.0,8404.0,2814.0,124385.0,13148.0,632.0,7064.0,15533.0,15636.0,77513.0,80994.0,37,35
Chatham County,37037,76285.0,75748.0,-537.0,537.0,0,-0.70892960870254,0,0,0,0,7574.7,1,33947.0,31288.0,2659.0,807.0,711.0,66.0,28.0,617.0,0.0,96.0,0.0,0.0,96.0,37,37,63505,629,845,-216,-13,1567,1738,74470,"Chatham County, North Carolina",3478.0,3867.0,4587.0,3888.0,3213.0,6576.0,8409.0,10092.0,5656.0,5330.0,10199.0,5011.0,2547.0,57630.0,8598.0,130.0,1182.0,9536.0,8794.0,34691.0,38162.0,37,37
Cherokee County,37039,28774.0,29073.0,299.0,299.0,1,1.0284456368451829,0,0,0,0,2907.2,0,17863.0,12705.0,5158.0,353.0,257.0,117.0,0.0,140.0,0.0,96.0,0.0,0.0,96.0,37,39,27444,248,379,-131,2,497,92,28612,"Cherokee County, North Carolina",1081.0,1144.0,1536.0,1304.0,1366.0,2548.0,2839.0,3482.0,2065.0,2609.0,5144.0,2583.0,712.0,26433.0,365.0,489.0,219.0,586.0,980.0,13913.0,14500.0,37,39
Chowan County,37041,13708.0,13815.0,107.0,107.0,1,0.7745204487875498,0,0,0,0,1381.4,0,7131.0,5884.0,1247.0,284.0,254.0,22.0,12.0,220.0,0.0,30.0,0.0,0.0,30.0,37,41,14793,126,216,-90,-2,-9,0,13943,"Chowan County, North Carolina",750.0,593.0,931.0,694.0,392.0,1770.0,1612.0,1564.0,1121.0,1090.0,2038.0,893.0,547.0,8463.0,4790.0,65.0,68.0,4975.0,502.0,6631.0,7364.0,37,41
Clay County,37043,11089.0,11505.0,416.0,416.0,1,3.615819209039548,0,0,0,0,1150.4,0,7295.0,4880.0,2415.0,98.0,81.0,0.0,3.0,78.0,0.0,17.0,0.0,0.0,17.0,37,43,10587,84,144,-60,-2,293,0,11231,"Clay County, North Carolina",510.0,560.0,647.0,411.0,341.0,1082.0,1054.0,1214.0,525.0,1344.0,2048.0,1252.0,162.0,10754.0,215.0,58.0,20.0,237.0,385.0,5158.0,5992.0,37,43
Cleveland County,37045,99519.0,99035.0,-484.0,484.0,0,-0.4887161104659968,0,0,0,0,9903.4,1,43630.0,39887.0,3743.0,2100.0,676.0,255.0,25.0,396.0,0.0,1424.0,1155.0,0.0,269.0,37,45,98078,1151,1358,-207,44,1240,159,97947,"Cleveland County, North Carolina",5576.0,6015.0,6044.0,6505.0,6254.0,11392.0,10806.0,13393.0,7017.0,6680.0,10854.0,5136.0,2093.0,72430.0,20260.0,240.0,985.0,21334.0,3618.0,47150.0,50615.0,37,45
Columbus County,37047,50623.0,54754.0,4131.0,4131.0,1,7.544654271834021,1,0,0,0,5475.3,0,23433.0,20368.0,3065.0,2508.0,2445.0,2187.0,9.0,249.0,0.0,63.0,0.0,0.0,63.0,37,47,58098,558,822,-264,6,-438,1579,55508,"Columbus County, North Carolina",2975.0,3424.0,3054.0,3351.0,3543.0,6776.0,6522.0,7170.0,3670.0,4032.0,6563.0,3473.0,1106.0,34770.0,16519.0,1964.0,246.0,17330.0,3061.0,27580.0,28079.0,37,47
Craven County,37049,100720.0,101233.0,513.0,513.0,1,0.5067517509112641,0,0,0,0,10123.2,0,46800.0,40932.0,5868.0,3469.0,1470.0,818.0,0.0,652.0,0.0,1999.0,0.0,1786.0,213.0,37,49,103505,1304,1146,158,59,-1009,344,102139,"Craven County, North Carolina",6468.0,6377.0,5794.0,6160.0,9760.0,13425.0,11291.0,10585.0,6466.0,6258.0,11423.0,5977.0,2306.0,71278.0,21899.0,673.0,2982.0,23312.0,7644.0,51413.0,50877.0,37,49
Cumberland County,37051,334728.0,336364.0,1636.0,1636.0,1,0.4863778525644837,0,0,0,0,33636.3,0,142175.0,128978.0,13197.0,14474.0,1884.0,535.0,116.0,1233.0,0.0,12590.0,1365.0,10800.0,425.0,37,51,319431,5379,2912,2467,559,-3184,1440,335509,"Cumberland County, North Carolina",25266.0,23505.0,21385.0,22904.0,33831.0,57306.0,39505.0,35676.0,19065.0,16209.0,23703.0,11827.0,4380.0,162289.0,124500.0,4299.0,8452.0,137579.0,40081.0,166102.0,168460.0,37,51
Currituck County,37053,28100.0,29052.0,952.0,952.0,1,3.2768828307861764,0,0,0,0,2905.1,0,15989.0,10723.0,5266.0,147.0,79.0,23.0,0.0,56.0,0.0,68.0,0.0,0.0,68.0,37,53,23547,271,205,66,1,1075,0,27763,"Currituck County, North Carolina",1419.0,1627.0,1876.0,1615.0,1207.0,3230.0,3521.0,3929.0,2087.0,2232.0,2883.0,1200.0,384.0,24261.0,1496.0,93.0,111.0,1837.0,1138.0,13515.0,13695.0,37,53
Dare County,37055,36915.0,37547.0,632.0,632.0,1,1.6832236929714757,0,0,0,0,3754.6,0,34237.0,15966.0,18271.0,310.0,187.0,55.0,0.0,132.0,0.0,123.0,14.0,42.0,67.0,37,55,33920,312,355,-43,43,479,109,37009,"Dare County, North Carolina",1563.0,1926.0,2149.0,1877.0,1650.0,3537.0,4488.0,5126.0,3060.0,3469.0,5169.0,2164.0,520.0,33445.0,1223.0,54.0,200.0,1425.0,2720.0,18377.0,18321.0,37,55
Davidson County,37057,168930.0,169234.0,304.0,304.0,1,0.1796329342803455,0,0,0,0,16923.3,0,74536.0,68126.0,6410.0,1863.0,1652.0,647.0,104.0,901.0,0.0,211.0,0.0,0.0,211.0,37,57,162878,1768,2002,-234,96,1134,812,167609,"Davidson County, North Carolina",9113.0,10630.0,10153.0,10138.0,9328.0,19481.0,19532.0,24299.0,13020.0,10905.0,17569.0,9531.0,3138.0,140969.0,15760.0,422.0,2572.0,17592.0,12265.0,81445.0,85392.0,37,57
Davie County,37059,42712.0,43286.0,574.0,574.0,1,1.3260638543639978,0,0,0,0,4328.5,0,18753.0,17256.0,1497.0,412.0,375.0,53.0,0.0,322.0,0.0,37.0,0.0,0.0,37.0,37,59,41240,401,490,-89,-11,692,197,42846,"Davie County, North Carolina",2076.0,2464.0,2788.0,2605.0,2153.0,4177.0,4705.0,6432.0,3434.0,2910.0,5034.0,2891.0,874.0,37696.0,2035.0,273.0,295.0,2284.0,2940.0,20628.0,21915.0,37,59
Duplin County,37061,48715.0,58794.0,10079.0,10079.0,1,17.142905738680817,1,0,1,0,5879.3,0,23704.0,19195.0,4509.0,426.0,271.0,0.0,0.0,271.0,0.0,155.0,0.0,0.0,155.0,37,61,58505,700,625,75,93,-176,936,58741,"Duplin County, North Carolina",3646.0,4451.0,3540.0,3776.0,3465.0,6629.0,6814.0,7451.0,4512.0,3767.0,6401.0,3180.0,1333.0,40646.0,13655.0,222.0,187.0,14815.0,13225.0,28746.0,30219.0,37,61
Durham County,37063,324833.0,327306.0,2473.0,2473.0,1,0.7555620734114253,0,0,0,0,32730.5,0,144559.0,134653.0,9906.0,14333.0,4123.0,2758.0,4.0,1319.0,42.0,10210.0,8115.0,0.0,2095.0,37,63,267587,4188,2429,1759,1271,1314,2991,321488,"Durham County, North Carolina",20402.0,18016.0,17558.0,20257.0,22146.0,57802.0,44612.0,38515.0,18849.0,17970.0,25813.0,10925.0,4800.0,161588.0,112965.0,850.0,15802.0,119578.0,43051.0,151807.0,165858.0,37,63
Edgecombe County,37065,48900.0,50829.0,1929.0,1929.0,1,3.795077613173582,0,0,0,0,5082.8,0,23059.0,19971.0,3088.0,694.0,390.0,124.0,22.0,244.0,0.0,304.0,0.0,0.0,304.0,37,65,56552,572,730,-158,11,-450,534,51472,"Edgecombe County, North Carolina",2987.0,3195.0,3518.0,3052.0,3036.0,6416.0,5596.0,6204.0,3572.0,4217.0,6101.0,3099.0,1076.0,20497.0,29920.0,176.0,84.0,30436.0,2512.0,24168.0,27901.0,37,65
Forsyth County,37067,382590.0,383843.0,1253.0,1253.0,1,0.326435547867227,0,0,0,0,38384.2,0,170176.0,156635.0,13541.0,10927.0,2657.0,913.0,80.0,1600.0,64.0,8270.0,7669.0,0.0,601.0,37,67,350670,4367,3714,653,333,716,1060,382295,"Forsyth County, North Carolina",22479.0,24070.0,25414.0,27249.0,24799.0,49894.0,45369.0,49545.0,26106.0,23245.0,35406.0,17829.0,7094.0,242798.0,98741.0,1318.0,9070.0,106884.0,49324.0,179533.0,198966.0,37,67
Franklin County,37069,68573.0,71859.0,3286.0,3286.0,1,4.572844041804089,0,0,0,0,7185.8,0,29358.0,26300.0,3058.0,1570.0,970.0,764.0,0.0,206.0,0.0,600.0,483.0,0.0,117.0,37,69,60619,752,714,38,60,1998,1525,69685,"Franklin County, North Carolina",3787.0,4124.0,4360.0,4288.0,3983.0,7966.0,8448.0,9585.0,5347.0,4637.0,7044.0,3488.0,970.0,45378.0,16389.0,644.0,311.0,18085.0,5875.0,33766.0,34261.0,37,69
Gaston County,37071,227943.0,226568.0,-1375.0,1375.0,0,-0.6068818191448042,0,0,0,0,22656.7,1,98136.0,90799.0,7337.0,3460.0,2367.0,686.0,26.0,1641.0,14.0,1093.0,748.0,0.0,345.0,37,71,206086,2561,2646,-85,71,1929,515,224529,"Gaston County, North Carolina",13133.0,13823.0,14378.0,13838.0,12851.0,29419.0,27682.0,31982.0,14617.0,14669.0,21530.0,10368.0,3829.0,168479.0,36817.0,665.0,3764.0,41188.0,16172.0,107131.0,114988.0,37,71
Gates County,37073,10478.0,11464.0,986.0,986.0,1,8.600837404047452,1,0,0,0,1146.3,0,4767.0,4244.0,523.0,116.0,116.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,37,73,12197,94,131,-37,1,-36,55,11562,"Gates County, North Carolina",422.0,640.0,800.0,760.0,509.0,1195.0,1068.0,1805.0,912.0,1047.0,1450.0,656.0,255.0,7260.0,3638.0,93.0,178.0,3744.0,11.0,5571.0,5948.0,37,73
Graham County,37075,8030.0,8474.0,444.0,444.0,1,5.239556289827709,1,0,0,0,847.3,0,5212.0,3317.0,1895.0,275.0,96.0,23.0,0.0,73.0,0.0,179.0,0.0,0.0,179.0,37,75,8861,83,109,-26,-1,32,0,8441,"Graham County, North Carolina",380.0,337.0,683.0,533.0,407.0,797.0,1000.0,1184.0,551.0,633.0,1112.0,573.0,311.0,7443.0,16.0,764.0,0.0,16.0,318.0,4003.0,4498.0,37,75
Granville County,37077,60992.0,60486.0,-506.0,506.0,0,-0.8365572198525277,0,0,0,0,6048.5,1,24214.0,22461.0,1753.0,4276.0,3635.0,3119.0,97.0,121.0,298.0,641.0,0.0,0.0,641.0,37,77,59916,582,632,-50,16,162,740,60443,"Granville County, North Carolina",2974.0,3226.0,3762.0,3742.0,3669.0,6962.0,7503.0,8934.0,5187.0,3677.0,6162.0,3038.0,987.0,36105.0,17635.0,214.0,324.0,19373.0,4941.0,30465.0,29358.0,37,77
Greene County,37079,20451.0,20928.0,477.0,477.0,1,2.279243119266055,0,0,0,0,2092.7,0,7846.0,6984.0,862.0,3397.0,3272.0,3129.0,0.0,143.0,0.0,125.0,0.0,0.0,125.0,37,79,21362,215,237,-22,1,33,95,21069,"Greene County, North Carolina",1024.0,1155.0,1318.0,1388.0,1063.0,2908.0,3086.0,2671.0,1373.0,1571.0,2071.0,1010.0,349.0,11961.0,7087.0,103.0,10.0,7656.0,3213.0,11529.0,9458.0,37,79
Guilford County,37081,541299.0,540521.0,-778.0,778.0,0,-0.1439352032575977,0,0,0,0,54052.0,1,232277.0,216022.0,16255.0,25462.0,3356.0,892.0,102.0,2345.0,17.0,22106.0,20084.0,0.0,2022.0,37,81,488406,6074,5065,1009,1087,520,4563,537174,"Guilford County, North Carolina",31237.0,32405.0,34188.0,40665.0,38316.0,73472.0,65229.0,70267.0,34744.0,31515.0,47613.0,22511.0,10794.0,288050.0,182467.0,2559.0,27443.0,192362.0,43379.0,252457.0,280499.0,37,81
Halifax County,37083,48622.0,49479.0,857.0,857.0,1,1.7320479395299015,0,0,0,0,4947.8,0,24735.0,20707.0,4028.0,1296.0,1228.0,983.0,12.0,233.0,0.0,68.0,0.0,0.0,68.0,37,83,54691,516,770,-254,14,-355,121,50010,"Halifax County, North Carolina",2765.0,2721.0,3495.0,2948.0,2701.0,5927.0,5412.0,6551.0,3897.0,3730.0,6132.0,3161.0,1238.0,20078.0,26439.0,1771.0,367.0,27467.0,1510.0,24445.0,26233.0,37,83
Harnett County,37085,133568.0,137058.0,3490.0,3490.0,1,2.54636723139109,0,0,0,0,13705.7,0,52876.0,48083.0,4793.0,3456.0,1901.0,966.0,23.0,912.0,0.0,1555.0,1403.0,0.0,152.0,37,85,114678,1850,1175,675,71,133,1499,135976,"Harnett County, North Carolina",9844.0,10021.0,9793.0,8980.0,8115.0,21188.0,18350.0,16473.0,7312.0,7370.0,10208.0,5043.0,1631.0,89770.0,28169.0,1316.0,1810.0,31313.0,17509.0,66571.0,67757.0,37,85
Haywood County,37087,62089.0,62972.0,883.0,883.0,1,1.4022105062567491,0,0,0,0,6297.1,0,34889.0,27193.0,7696.0,949.0,615.0,86.0,43.0,486.0,0.0,334.0,0.0,0.0,334.0,37,87,59036,531,850,-319,6,778,0,62317,"Haywood County, North Carolina",2916.0,2896.0,3308.0,3202.0,2938.0,7076.0,6736.0,8006.0,4576.0,4910.0,8796.0,4918.0,1584.0,58482.0,541.0,326.0,468.0,993.0,2557.0,30109.0,31753.0,37,87
Henderson County,37089,116281.0,118445.0,2164.0,2164.0,1,1.8270083160960784,0,0,0,0,11844.4,0,56434.0,49317.0,7117.0,1349.0,956.0,155.0,21.0,780.0,0.0,393.0,25.0,0.0,368.0,37,89,106740,1055,1553,-498,4,1598,2755,117417,"Henderson County, North Carolina",5509.0,6165.0,6478.0,6163.0,5236.0,11698.0,13206.0,14859.0,8448.0,8511.0,16874.0,9396.0,3755.0,105339.0,4168.0,323.0,1618.0,5277.0,11835.0,55747.0,60551.0,37,89
Hertford County,37091,21552.0,23108.0,1556.0,1556.0,1,6.73359875367838,1,0,0,0,2310.7,0,9803.0,8351.0,1452.0,2781.0,1677.0,1288.0,0.0,161.0,228.0,1104.0,1048.0,0.0,56.0,37,91,24669,206,317,-111,11,-429,254,23677,"Hertford County, North Carolina",1069.0,951.0,1573.0,1950.0,1626.0,2740.0,2569.0,2856.0,1765.0,1861.0,2743.0,1592.0,457.0,8255.0,14295.0,312.0,206.0,14603.0,885.0,11754.0,11998.0,37,91
Hoke County,37093,52082.0,55830.0,3748.0,3748.0,1,6.713236611140963,1,0,0,0,5582.9,0,20083.0,18590.0,1493.0,421.0,374.0,142.0,11.0,221.0,0.0,47.0,17.0,0.0,30.0,37,93,46952,846,422,424,38,201,67,55234,"Hoke County, North Carolina",4608.0,4314.0,3855.0,3501.0,3059.0,9643.0,7847.0,6356.0,3346.0,2591.0,3648.0,1211.0,611.0,24060.0,18320.0,4197.0,780.0,20008.0,7592.0,26979.0,27611.0,37,93
Hyde County,37095,4589.0,4843.0,254.0,254.0,1,5.244683047697708,1,0,0,0,484.2,0,3146.0,1804.0,1342.0,567.0,551.0,531.0,0.0,20.0,0.0,16.0,0.0,0.0,16.0,37,95,5810,34,56,-22,-2,-63,0,4937,"Hyde County, North Carolina",364.0,343.0,206.0,180.0,153.0,668.0,836.0,473.0,385.0,479.0,754.0,228.0,20.0,3231.0,1501.0,6.0,0.0,1568.0,677.0,2706.0,2383.0,37,95
Iredell County,37097,186693.0,185770.0,-923.0,923.0,0,-0.4968509447165851,0,0,0,0,18576.9,1,79372.0,72706.0,6666.0,1720.0,1504.0,324.0,48.0,1091.0,41.0,216.0,0.0,0.0,216.0,37,97,159437,1921,1814,107,138,3680,457,181806,"Iredell County, North Carolina",9885.0,10702.0,12704.0,11853.0,10180.0,21384.0,22606.0,26859.0,13027.0,11257.0,17208.0,8158.0,3030.0,143147.0,21605.0,550.0,4365.0,23477.0,13958.0,88179.0,90674.0,37,97
